time,datetime,LST_Day_1km_celsius
1514851200000,2018-01-02,-13.609999999999957
1514937600000,2018-01-03,-3.7099999999999795
1515024000000,2018-01-04,-3.3699999999999477
1515110400000,2018-01-05,-3.8099999999999454
1515456000000,2018-01-09,8.430000000000007
1516406400000,2018-01-20,4.350000000000023
1516752000000,2018-01-24,-2.169999999999959
1516838400000,2018-01-25,-2.9699999999999704
1517011200000,2018-01-27,0.09000000000003183
1518307200000,2018-02-11,-7.009999999999991
1518480000000,2018-02-13,-1.5299999999999727
1518739200000,2018-02-16,-1.0299999999999727
1519516800000,2018-02-25,5.3700000000000045
1519689600000,2018-02-27,11.590000000000032
1519776000000,2018-02-28,5.910000000000025
1519862400000,2018-03-01,11.850000000000023
1519948800000,2018-03-02,9.770000000000039
1520035200000,2018-03-03,19.890000000000043
1520208000000,2018-03-05,8.450000000000045
1520380800000,2018-03-07,10.870000000000005
1520467200000,2018-03-08,12.330000000000041
1520553600000,2018-03-09,18.53000000000003
1520812800000,2018-03-12,18.29000000000002
1520899200000,2018-03-13,20.130000000000052
1520985600000,2018-03-14,22.190000000000055
1521072000000,2018-03-15,21.57000000000005
1521590400000,2018-03-21,16.510000000000048
1521676800000,2018-03-22,27.450000000000045
1522108800000,2018-03-27,21.49000000000001
1522195200000,2018-03-28,24.53000000000003
1522368000000,2018-03-30,21.510000000000048
1522800000000,2018-04-04,13.870000000000005
1522886400000,2018-04-05,25.130000000000052
1523059200000,2018-04-07,11.750000000000057
1523318400000,2018-04-10,25.710000000000036
1524441600000,2018-04-23,26.730000000000018
1524614400000,2018-04-25,22.79000000000002
1524787200000,2018-04-27,32.97000000000003
1524873600000,2018-04-28,26.49000000000001
1524960000000,2018-04-29,30.730000000000018
1525392000000,2018-05-04,31.850000000000023
1525478400000,2018-05-05,34.950000000000045
1525564800000,2018-05-06,33.09000000000003
1525737600000,2018-05-08,31.190000000000055
1525824000000,2018-05-09,37.910000000000025
1525910400000,2018-05-10,35.210000000000036
1526342400000,2018-05-15,33.190000000000055
1526428800000,2018-05-16,31.110000000000014
1526515200000,2018-05-17,34.05000000000001
1526860800000,2018-05-21,23.170000000000016
1527033600000,2018-05-23,27.410000000000025
1527120000000,2018-05-24,29.930000000000007
1527206400000,2018-05-25,36.97000000000003
1527292800000,2018-05-26,37.83000000000004
1527638400000,2018-05-30,28.090000000000032
1527724800000,2018-05-31,24.350000000000023
1527811200000,2018-06-01,28.110000000000014
1527897600000,2018-06-02,31.33000000000004
1527984000000,2018-06-03,34.05000000000001
1528070400000,2018-06-04,27.650000000000034
1528156800000,2018-06-05,38.63000000000005
1528416000000,2018-06-08,31.99000000000001
1528502400000,2018-06-09,36.910000000000025
1528588800000,2018-06-10,36.01000000000005
1528675200000,2018-06-11,33.27000000000004
1528934400000,2018-06-14,38.210000000000036
1529020800000,2018-06-15,33.99000000000001
1529107200000,2018-06-16,36.49000000000001
1529366400000,2018-06-19,30.150000000000034
1529539200000,2018-06-21,25.450000000000045
1529625600000,2018-06-22,26.890000000000043
1529712000000,2018-06-23,35.650000000000034
1529971200000,2018-06-26,32.13000000000005
1530057600000,2018-06-27,35.53000000000003
1530144000000,2018-06-28,37.09000000000003
1530316800000,2018-06-30,29.350000000000023
1530403200000,2018-07-01,28.250000000000057
1530576000000,2018-07-03,32.01000000000005
1530662400000,2018-07-04,33.690000000000055
1530748800000,2018-07-05,22.430000000000007
1530921600000,2018-07-07,35.31
1531008000000,2018-07-08,32.170000000000016
1531094400000,2018-07-09,39.57000000000005
1531180800000,2018-07-10,35.170000000000016
1531267200000,2018-07-11,38.650000000000034
1531353600000,2018-07-12,37.03000000000003
1531526400000,2018-07-14,26.57000000000005
1531612800000,2018-07-15,32.43000000000001
1531699200000,2018-07-16,36.05000000000001
1531785600000,2018-07-17,28.33000000000004
1531958400000,2018-07-19,34.09000000000003
1532044800000,2018-07-20,33.410000000000025
1532131200000,2018-07-21,33.47000000000003
1532217600000,2018-07-22,30.210000000000036
1532390400000,2018-07-24,23.230000000000018
1532649600000,2018-07-27,29.430000000000007
1532995200000,2018-07-31,28.03000000000003
1533081600000,2018-08-01,18.730000000000018
1533168000000,2018-08-02,31.870000000000005
1533254400000,2018-08-03,34.97000000000003
1533340800000,2018-08-04,31.210000000000036
1533600000000,2018-08-07,31.07000000000005
1533686400000,2018-08-08,26.950000000000045
1533772800000,2018-08-09,32.99000000000001
1533859200000,2018-08-10,33.93000000000001
1533945600000,2018-08-11,33.110000000000014
1534032000000,2018-08-12,33.410000000000025
1534291200000,2018-08-15,35.31
1534464000000,2018-08-17,27.670000000000016
1534550400000,2018-08-18,28.83000000000004
1534723200000,2018-08-20,24.99000000000001
1535068800000,2018-08-24,34.89000000000004
1535155200000,2018-08-25,31.79000000000002
1535241600000,2018-08-26,31.03000000000003
1535328000000,2018-08-27,34.29000000000002
1535500800000,2018-08-29,30.810000000000002
1535673600000,2018-08-31,36.33000000000004
1536192000000,2018-09-06,20.090000000000032
